tanggal,tn,tx,tavg,rh_avg,rr,ss,ddd_x,ddd_car,ff_x,ff_avg
2020-05-05,24.2,34.4,27.8,84,8.4,4.5,200,C ,7,1
2020-05-06,24.2,34.0,29.3,81,15.0,5.5,110,C ,4,1
2020-05-07,25.0,34.8,27.7,87,0.0,7.7,60,C ,7,1
2020-05-08,24.9,34.4,28.4,83,55.6,4.5,300,C ,5,1
2020-05-09,25.0,31.8,27.3,90,6.0,6.0,70,C ,3,1
2020-05-10,25.0,31.6,27.6,88,10.0,0.0,210,C ,9,2
2020-05-11,24.6,33.8,28.1,86,130.9,0.5,150,C ,4,1
2020-05-12,24.0,33.2,28.1,87,38.3,5.5,300,C ,6,2
2020-05-13,24.8,35.0,30.0,80,0.3,3.8,110,C ,5,1
2020-05-14,25.4,33.2,27.6,88,0.0,8.9,50,C ,6,1
2020-05-15,24.4,34.6,29.3,83,39.7,5.0,80,C ,4,2
2020-05-16,23.8,33.0,29.0,84,69.2,8.2,40,C ,4,1
2020-05-17,24.0,30.0,26.1,95,0.0,,290,C ,2,1
2020-05-18,24.4,35.0,29.5,83,14.4,0.0,30,C ,2,1
2020-05-19,24.8,35.0,29.3,81,0.0,3.3,280,C ,3,1
2020-05-20,24.4,34.2,28.7,84,0.0,4.6,270,C ,2,0
2020-05-21,25.8,34.6,29.1,82,3.1,3.5,70,C ,4,0
2020-05-22,25.7,32.0,27.5,88,0.3,5.3,40,C ,6,1
2020-05-23,25.0,34.2,28.8,84,1.0,2.1,50,C ,3,0
2020-05-24,24.8,31.6,27.3,88,,2.6,90,C ,4,0
2020-05-25,24.3,34.6,27.8,87,1.8,1.5,50,C ,5,1
2020-05-26,24.6,33.4,27.5,88,13.1,6.1,60,C ,4,1
2020-05-27,24.2,34.4,28.6,85,5.3,3.5,50,C ,4,0
2020-05-28,24.4,34.2,29.0,82,0.4,6.7,280,C ,4,1
2020-05-29,24.0,32.6,27.1,90,43.0,5.5,280,C ,4,1
2020-05-30,23.8,34.6,29.4,81,1.5,2.8,100,C ,5,1
2020-05-31,24.2,30.0,27.0,92,0.0,9.7,190,C ,3,0
2020-06-01,24.8,34.4,28.8,84,4.9,0.9,80,C ,4,1
2020-06-02,25.0,32.0,27.9,83,5.5,6.9,290,C ,4,1
2020-06-03,24.6,34.4,27.9,84,,2.1,80,C ,4,1
2020-06-04,24.3,31.0,27.5,87,34.4,8.5,280,C ,5,0
2020-06-05,24.3,32.0,25.9,91,,0.7,300,C ,4,1
2020-06-06,23.5,31.0,27.4,86,59.6,1.5,60,C ,3,0
2020-06-07,24.0,32.8,27.6,84,,1.0,340,C ,4,1
2020-06-08,24.2,34.3,29.2,80,,6.5,100,C ,4,1
2020-06-09,24.4,35.2,28.6,82,,9.8,110,C ,4,1
2020-06-10,24.3,33.0,27.6,86,7.0,9.4,290,C ,12,1
2020-06-11,23.0,33.2,28.4,85,51.8,2.3,100,C ,5,1
2020-06-12,24.4,31.2,27.5,88,0.0,3.5,10,C ,3,0
2020-06-13,24.8,34.0,27.6,84,,1.9,220,C ,13,1
2020-06-14,24.2,34.2,28.4,84,,3.5,150,C ,3,1
2020-06-15,24.0,32.8,27.2,91,69.3,6.5,250,C ,9,1
2020-06-16,24.6,32.8,26.7,89,60.5,5.5,300,C ,5,1
2020-06-17,23.4,34.0,27.8,86,35.3,4.2,330,C ,10,1
2020-06-18,23.2,31.0,26.6,89,95.1,4.6,290,C ,3,0
2020-06-19,23.4,,28.5,83,2.1,1.0,90,C ,3,1
2020-06-20,23.2,32.6,27.0,88,1.2,8.5,90,C ,5,1
2020-06-21,23.6,33.6,26.6,88,27.0,2.8,110,C ,6,1
2020-06-22,23.2,33.0,27.0,86,10.1,6.3,40,C ,4,1
2020-06-23,23.0,33.4,27.8,87,39.7,2.8,320,C ,4,1
2020-06-24,23.2,34.6,27.4,83,,3.3,270,W ,5,2
2020-06-25,23.2,34.6,27.1,86,4.5,3.5,250,C ,13,1
2020-06-26,22.8,32.8,28.4,86,88.2,7.5,70,C ,4,1
2020-06-27,24.0,33.2,27.8,86,0.0,4.3,250,C ,6,1
2020-06-28,24.2,32.8,27.5,88,18.8,4.8,220,C ,1,0
2020-06-29,23.4,35.4,29.8,78,,1.7,280,C ,3,0
2020-06-30,23.3,33.0,27.8,85,0.0,8.7,100,C ,4,1
2020-07-01,24.2,32.4,27.0,86,,1.7,290,C ,4,1
2020-07-02,23.2,34.2,27.3,85,2.3,2.1,220,C ,9,2
2020-07-03,23.2,33.4,27.6,84,3.5,4.4,220,C ,8,2
2020-07-04,23.8,34.0,27.6,87,3.3,4.5,90,C ,6,1
2020-07-05,23.3,33.8,28.8,80,5.2,5.8,80,C ,5,2
2020-07-06,23.5,28.0,25.3,92,,7.5,280,C ,6,1
2020-07-07,22.8,31.4,27.5,84,4.4,0.0,40,C ,4,1
2020-07-08,23.0,32.4,27.4,83,0.0,4.6,10,C ,3,1
2020-07-09,24.3,32.7,27.4,87,,4.5,40,C ,5,1
2020-07-10,23.4,32.6,26.3,88,3.0,3.1,220,C ,8,2
2020-07-11,21.2,33.0,27.4,85,43.5,2.1,100,C ,5,2
2020-07-12,22.6,33.6,26.1,90,14.8,7.5,330,C ,12,2
2020-07-13,23.0,31.2,27.3,87,33.5,5.6,120,C ,4,1
2020-07-14,24.2,32.7,28.1,84,,3.2,40,C ,4,1
2020-07-15,24.2,34.2,28.8,81,0.0,2.0,60,C ,3,1
2020-07-16,24.6,31.6,27.9,87,0.0,6.3,120,C ,4,1
2020-07-17,25.0,34.2,28.3,84,5.5,1.5,30,C ,4,1
2020-07-18,23.8,31.0,26.7,90,,4.8,250,C ,4,1
2020-07-19,24.2,33.6,28.4,84,24.5,2.7,90,C ,6,1
2020-07-20,24.0,31.4,26.9,88,0.0,6.6,100,C ,4,1
2020-07-21,23.5,33.4,28.4,83,,2.4,140,C ,3,1
2020-07-22,24.5,30.4,27.1,88,,3.5,280,C ,2,0
2020-07-23,23.8,32.8,26.3,88,17.0,0.3,210,C ,8,1
2020-07-24,23.8,30.8,26.7,90,16.7,4.7,40,C ,3,0
2020-07-25,23.8,30.8,26.9,89,0.8,1.8,100,C ,4,1
2020-07-26,23.8,32.4,26.2,92,8.7,2.3,330,C ,6,1
2020-07-27,24.0,32.4,26.2,90,63.0,3.2,190,C ,11,1
2020-07-28,23.6,34.2,26.8,87,43.0,5.0,250,C ,4,1
2020-07-29,23.6,34.6,28.0,83,7.6,4.9,350,C ,5,1
2020-07-30,23.3,35.4,28.2,82,,6.7,220,C ,5,2
2020-07-31,24.4,33.2,28.5,84,,5.3,240,C ,3,1
2020-08-01,24.6,35.2,28.2,84,,2.2,40,C ,4,1
2020-08-02,24.2,33.3,28.7,84,28.7,7.0,200,C ,2,1
2020-08-03,24.4,35.6,27.9,83,,2.8,240,C ,7,1
2020-08-04,23.8,32.8,28.3,82,8.0,7.8,150,C ,3,1
2020-08-05,,35.0,29.0,81,0.0,,90,C ,6,1
2020-08-06,24.0,35.4,28.8,82,0.0,3.5,260,C ,6,1
2020-08-07,24.8,35.8,29.6,78,2.7,3.5,110,C ,3,1
2020-08-08,25.0,,29.7,80,,8.5,230,C ,6,1
