tanggal,curah_hujan,suhu_udara,kelembapan_udara
2020-12-02,1.0,26.8,85.0
2020-12-03,16.9,26.9,86.0
2020-12-04,20.7,25.6,90.0
2020-12-05,24.5,25.8,91.0
2020-12-06,14.5,26.1,90.0
2020-12-07,4.5,26.8,84.0
2020-12-08,0.5,26.7,88.0
2020-12-09,3.6,27.4,81.0
2020-12-10,0.0,26.4,85.0
2020-12-11,33.0,27.3,82.0
2020-12-12,0.1,26.8,81.0
2020-12-13,0.725,26.9,82.0
2020-12-14,1.35,28.0,76.0
2020-12-15,1.975,27.1,83.0
2020-12-16,2.6,27.2,79.0
2020-12-17,5.5,27.0,82.0
2020-12-18,0.0,26.0,85.0
2020-12-19,1.5,26.9,82.0
2020-12-20,0.0,26.3,86.0
2020-12-21,0.6333333333333333,27.2,81.0
2020-12-22,1.2666666666666666,26.2,87.0
2020-12-23,1.9,27.6,77.0
2020-12-24,12.7,26.6,84.0
2020-12-25,9.799999999999999,26.8,84.0
2020-12-26,6.8999999999999995,25.2,94.0
2020-12-27,4.0,26.7,86.0
2020-12-28,2.0,28.0,80.0
2020-12-29,0.0,26.3,85.0
2020-12-30,10.4,27.1,78.0
2020-12-31,0.0,26.8,82.0
2021-01-01,1.6,26.4,84.0
2021-01-02,19.8,26.2,84.0
2021-01-03,5.6,26.5,94.0
2021-01-04,1.2,26.8,82.0
2021-01-05,1.2,26.4,86.0
2021-01-06,1.2,25.9,90.0
2021-01-07,1.2,27.1,84.0
2021-01-08,1.5,26.6,85.0
2021-01-09,28.1,26.1,89.0
2021-01-10,8.1,25.2,91.0
2021-01-11,8.4,25.6,90.0
2021-01-12,8.7,26.2,85.0
2021-01-13,9.0,25.3,89.0
2021-01-14,26.2,27.0,81.0
2021-01-15,2.5,26.9,83.0
2021-01-16,18.4,25.6,88.0
2021-01-17,11.2,28.0,79.0
2021-01-18,16.2,25.0,91.0
2021-01-19,10.8,26.5,85.0
2021-01-20,5.4,26.2,84.0
2021-01-21,0.0,27.6,77.0
2021-01-22,0.0,25.2,88.0
2021-01-23,10.5,26.7,82.0
2021-01-24,6.5,26.7,85.0
2021-01-25,2.5,27.3,80.0
2021-01-26,1.25,27.6,79.0
2021-01-27,0.0,26.9,83.0
2021-01-28,1.0,26.5,86.0
2021-01-29,0.6666666666666667,25.3,91.0
2021-01-30,0.33333333333333337,26.5,84.0
2021-01-31,0.0,27.5,80.0
2021-02-01,0.0,27.0,85.0
2021-02-02,18.0,26.8,84.0
2021-02-03,0.0,28.2,79.0
2021-02-04,0.0,26.4,87.0
2021-02-05,14.1,27.3,82.0
2021-02-06,0.6,28.6,75.0
2021-02-07,0.0,28.3,79.0
2021-02-08,11.8,27.4,82.0
2021-02-09,23.6,28.6,79.0
2021-02-10,0.0,27.2,85.0
2021-02-11,20.7,27.3,84.0
2021-02-12,0.0,28.3,78.0
2021-02-13,0.0,28.8,77.0
2021-02-14,0.0,28.9,75.0
2021-02-15,0.0,28.3,77.0
2021-02-16,0.0,28.7,75.0
2021-02-17,0.0,27.8,75.0
2021-02-18,4.7,27.0,80.0
2021-02-19,9.4,26.9,78.0
2021-02-20,4.7,27.5,77.0
2021-02-21,0.0,28.5,77.0
2021-02-22,0.0,28.8,77.0
2021-02-23,0.0,28.6,73.0
2021-02-24,0.0,28.8,74.0
2021-02-25,0.0,28.0,78.0
2021-02-26,1.5,28.8,76.0
2021-02-27,0.0,28.8,77.0
2021-02-28,0.0,28.7,76.0
2021-03-01,0.0,27.0,83.0
2021-03-02,3.033333333333333,28.5,78.0
2021-03-03,6.066666666666666,26.2,84.0
2021-03-04,9.1,28.4,79.0
2021-03-05,0.0,28.4,76.0
2021-03-06,0.0,27.1,83.0
2021-03-07,0.0,26.6,83.0
2021-03-08,10.3,28.4,77.0
2021-03-09,0.0,27.8,78.0
2021-03-10,0.0,27.9,74.0
2021-03-11,0.0,27.9,76.0
2021-03-12,0.0,27.3,80.0
2021-03-13,4.5,26.7,84.0
2021-03-14,33.5,28.2,77.0
2021-03-15,0.0,28.3,77.0
2021-03-16,0.0,27.8,78.0
2021-03-17,0.0,28.2,75.0
2021-03-18,0.0,28.5,78.0
2021-03-19,1.0,28.0,82.0
2021-03-20,0.5,28.9,76.0
2021-03-21,0.0,27.5,82.0
2021-03-22,14.2,28.0,82.0
2021-03-23,7.2,26.0,88.0
2021-03-24,4.0,27.1,85.0
2021-03-25,0.8,26.5,87.0
2021-03-26,3.1,28.8,75.0
2021-03-27,3.0,27.8,82.0
2021-03-28,0.1,27.2,82.0
2021-03-29,24.7,27.4,86.0
2021-03-30,2.5,27.9,83.0
2021-03-31,1.5,28.9,73.0
2021-04-01,0.75,29.8,70.0
2021-04-02,0.0,29.2,76.0
2021-04-03,0.0,27.8,81.0
2021-04-04,1.6,28.8,78.0
2021-04-05,0.2,28.3,82.0
2021-04-06,5.6,27.8,84.0
2021-04-07,13.55,25.9,91.0
2021-04-08,21.5,28.1,77.0
2021-04-09,0.0,28.7,75.0
2021-04-10,0.0,28.2,79.0
2021-04-11,0.0,28.3,82.0
2021-04-12,0.0,28.2,79.0
2021-04-13,2.5,26.8,85.0
2021-04-14,3.666666666666667,26.9,84.0
2021-04-15,4.833333333333334,27.2,84.0
2021-04-16,6.0,26.9,84.0
2021-04-17,18.6,27.9,80.0
2021-04-18,0.0,28.8,77.0
2021-04-19,0.0,27.0,80.0
2021-04-20,0.8,28.5,79.0
2021-04-21,0.0,28.3,79.0
2021-04-22,0.8,26.7,83.0
2021-04-23,5.675,26.8,84.0
2021-04-24,10.55,26.0,89.0
2021-04-25,15.425,27.0,84.0
2021-04-26,20.3,27.7,80.0
2021-04-27,0.5,26.1,91.0
2021-04-28,1.9,28.0,82.0
2021-04-29,2.3,27.5,82.0
2021-04-30,2.7,28.1,81.0
2021-05-01,0.0,26.9,85.0
2021-05-02,31.7,27.9,82.0
2021-05-03,26.633333333333333,29.4,77.0
2021-05-04,21.566666666666666,26.7,87.0
2021-05-05,16.5,28.2,78.0
2021-05-06,28.2,27.8,81.0
2021-05-07,14.1,28.5,79.0
2021-05-08,0.0,28.4,82.0
2021-05-09,8.75,27.7,86.0
2021-05-10,17.5,28.2,84.0
2021-05-11,0.0,29.2,78.0
2021-05-12,1.0,27.7,82.0
2021-05-13,1.2,29.0,75.0
2021-05-14,7.500000000000001,27.6,84.0
2021-05-15,13.8,28.6,82.0
2021-05-16,3.0,28.8,81.0
2021-05-17,8.7,28.3,85.0
2021-05-18,14.4,28.6,82.0
2021-05-19,0.0,29.3,78.0
2021-05-20,0.0,28.8,80.0
2021-05-21,0.0,27.9,84.0
2021-05-22,0.0,28.1,81.0
2021-05-23,3.5,29.5,74.0
2021-05-24,0.0,29.3,74.0
2021-05-25,0.0,29.5,73.0
2021-05-26,2.1,28.0,84.0
2021-05-27,4.2,27.4,86.0
2021-05-28,6.300000000000001,27.9,81.0
2021-05-29,8.4,28.6,78.0
2021-05-30,3.3,28.2,79.0
2021-05-31,3.5,27.5,84.0
2021-06-01,10.0,28.9,79.0
2021-06-02,33.0,27.9,89.0
2021-06-03,0.6,27.7,88.0
2021-06-04,23.5,26.6,91.0
2021-06-05,11.75,28.2,82.0
2021-06-06,0.0,28.8,76.0
2021-06-07,8.6,29.2,79.0
2021-06-08,0.0,29.6,75.0
2021-06-09,0.0,28.0,80.0
2021-06-10,0.0,27.8,80.0
2021-06-11,1.2,29.8,74.0
2021-06-12,0.0,27.7,82.0
2021-06-13,1.4,28.5,79.0
2021-06-14,2.8,28.5,82.0
2021-06-15,1.6,27.4,86.0
2021-06-16,2.7,28.9,78.0
2021-06-17,1.9500000000000002,29.0,73.0
2021-06-18,1.2,27.2,82.0
2021-06-19,6.266666666666667,28.1,75.0
2021-06-20,11.333333333333332,25.7,86.0
2021-06-21,16.4,28.2,77.0
2021-06-22,0.0,28.8,71.0
2021-06-23,0.0,28.4,76.0
2021-06-24,14.15,28.9,75.0
2021-06-25,28.3,28.2,76.0
2021-06-26,0.0,28.1,80.0
2021-06-27,1.1,27.6,82.0
2021-06-28,0.7,25.9,86.0
2021-06-29,0.64,27.0,80.5
2021-06-30,0.58,28.1,75.0
2021-07-01,0.52,27.7,81.0
2021-07-02,0.46,27.4,81.0
2021-07-03,0.4,29.0,75.0
2021-07-04,0.0,27.3,81.0
2021-07-05,1.6,26.1,85.0
2021-07-06,21.8,27.4,82.0
2021-07-07,0.0,28.2,78.0
2021-07-08,4.3,27.1,83.0
2021-07-09,19.3,26.5,88.0
2021-07-10,13.600000000000001,26.8,85.0
2021-07-11,7.9,26.2,90.0
2021-07-12,12.8,27.3,88.0
2021-07-13,3.5,27.7,81.0
2021-07-14,0.4,26.4,86.0
2021-07-15,2.4,28.5,78.0
2021-07-16,0.0,28.9,76.0
2021-07-17,0.0,29.6,71.0
2021-07-18,0.0,30.3,62.0
2021-07-19,0.0,30.1,64.0
2021-07-20,0.0,29.9,69.0
2021-07-21,0.0,29.9,72.0
2021-07-22,0.0,28.3,74.0
2021-07-23,0.0,30.4,65.0
2021-07-24,0.0,29.7,75.0
2021-07-25,0.0,30.0,74.0
2021-07-26,0.0,28.7,79.0
2021-07-27,2.4,28.3,76.0
2021-07-28,4.8,27.7,78.0
2021-07-29,7.2,28.9,77.0
2021-07-30,5.76,27.2,84.0
2021-07-31,4.32,26.8,82.0
2021-08-01,2.88,28.7,72.0
2021-08-02,1.4400000000000004,29.1,76.0
2021-08-03,0.0,27.0,83.0
2021-08-04,0.0,27.9,80.0
2021-08-05,0.0,29.3,75.0
2021-08-06,0.0,28.9,74.0
2021-08-07,0.0,28.7,77.0
2021-08-08,0.0,26.9,88.0
2021-08-09,28.8,27.8,85.0
2021-08-10,1.0,27.7,82.0
2021-08-11,0.0,27.5,84.0
2021-08-12,0.3,27.1,82.0
2021-08-13,6.3,26.9,83.0
2021-08-14,12.3,27.1,86.0
2021-08-15,18.3,27.3,84.0
2021-08-16,24.3,25.6,90.0
2021-08-17,18.9,27.7,80.0
2021-08-18,18.8,28.5,93.0
2021-08-19,6.1,29.3,70.0
2021-08-20,0.0,27.3,80.0
2021-08-21,0.0,29.0,72.0
2021-08-22,0.2,28.0,78.0
2021-08-23,0.4,28.3,76.0
2021-08-24,0.6000000000000001,27.4,80.0
2021-08-25,0.8,28.6,77.0
2021-08-26,1.0,30.3,68.0
2021-08-27,1.65,27.8,81.0
2021-08-28,2.3,26.9,83.0
2021-08-29,0.0,26.6,86.0
2021-08-30,5.9,26.6,84.0
2021-08-31,5.0,26.4,84.0
2021-09-01,3.5,28.1,78.0
2021-09-02,2.6,29.8,70.0
2021-09-03,1.7,29.7,72.0
2021-09-04,0.0,26.9,85.0
2021-09-05,4.9,29.1,76.0
2021-09-06,3.2666666666666666,30.6,66.0
2021-09-07,1.6333333333333333,30.7,68.0
2021-09-08,0.0,29.3,70.0
2021-09-09,0.6,29.8,72.0
2021-09-10,1.2,30.3,69.0
2021-09-11,1.9,28.3,80.0
2021-09-12,12.250000000000002,28.6,78.0
2021-09-13,22.6,27.2,82.0
2021-09-14,0.8,29.9,70.0
2021-09-15,0.0,30.0,70.0
2021-09-16,0.0,29.8,76.0
2021-09-17,1.7,28.4,75.0
2021-09-18,0.3,27.7,80.0
2021-09-19,0.0,27.3,83.0
2021-09-20,10.0,28.3,76.0
2021-09-21,3.1,30.0,72.0
2021-09-22,3.0,27.6,77.0
2021-09-23,2.7,30.5,65.0
2021-09-24,0.0,30.4,68.0
2021-09-25,0.0,30.8,69.0
2021-09-26,0.6,28.6,78.0
2021-09-27,1.2,29.5,73.0
2021-09-28,0.0,28.6,77.0
2021-09-29,33.0,27.9,82.0
2021-09-30,1.8,30.9,69.0
2021-10-01,3.8,28.7,70.0
2021-10-02,0.0,30.3,63.0
2021-10-03,0.0,31.4,65.0
2021-10-04,0.0,31.6,66.0
2021-10-05,2.3,29.9,67.0
2021-10-06,0.0,29.9,67.0
2021-10-07,6.0,30.1,69.0
2021-10-08,6.4,31.2,68.0
2021-10-09,6.8,31.4,65.0
2021-10-10,7.2,31.1,71.0
2021-10-11,10.2,31.7,68.33333333333333
2021-10-12,5.1,31.9,65.66666666666667
2021-10-13,0.0,32.3,63.0
2021-10-14,0.0,32.8,68.0
2021-10-15,0.0,32.7,73.0
2021-10-16,0.0,32.0,78.0
2021-10-17,0.0,28.1,83.0
2021-10-18,3.55,28.8,74.0
2021-10-19,7.1,29.4,76.0
2021-10-20,20.0,26.8,85.0
2021-10-21,35.8,28.7,76.0
2021-10-22,0.0,29.9,71.0
2021-10-23,1.3,29.7,70.0
2021-10-24,1.4500000000000002,28.1,77.0
2021-10-25,1.6,29.3,74.0
2021-10-26,0.3,30.3,71.0
2021-10-27,4.2,28.8,79.0
2021-10-28,0.0,29.8,73.0
2021-10-29,4.4,29.9,76.0
